v1,v2
ham,If a girl gets 89 marks.HER RSPONSE: kamina 1 mrk aur de deta to uska kya ho jata If a boy gets 40 he sayscheck karne wala bhgwan tha yaar.;-) 
ham,If a drop of water falls in a lake   ther is no identity. Bt if it falls on a leaf of lotus  it shines like a pearl.So choose d best place where u wud shine.  
ham,If a drop of water falls in a lake  it has no identity but if falls on a leaf of lotus  it shines apart. So choose the correct place where u can shine. 
ham,If a CAT crosses ur way when u are going some where then wat does itmean????????It means tht th Cat is also goin smewhre-via WAY2SMS.COM 
ham,If 2day a big fat man cmes 2 u & puts u in a big red bag. Don't get afraid plz  actualy i asked santa 2 gift me a gud frnd 4 dis xmas.  Mery chirtmas  
ham,whos dis?i lst al my contacts 
ham,If 1=5 2=25 3=125 4=625 5=? Think b4 scrolling down. Ans=1 How? See the 1st line. Conclusion: Dont Complicate Simple Problems in life.  
ham,If 007 is JaMesBond  what is 111? Try-Try Simple  Its JaMes Bond in Binary..!! Only engineers Think different....  
ham,If P+J is knwn as poor joke. wht will u call P+iJ? Ans:Complex poor joke Ab aap sochoge is par hasi kyu nhi aayi? Arey Joke waala part to imaginary hai..;-) 
ham,INVITATION TO MY DEAR FRIENDS 4 NEW Yr Party On 31st Dec 2010 At- Nahyan Hall 167th Floor Burj-E-Khaleefa  DUBAI Koi Bahana Nhi Chalega Pls note-Lift band Hai. 
ham,ie this on ur hand! . >>>(*Vaibhav*)<<< . Hope I m d 1st friend of urs 2 tie d FRIENDSHIP BAND.!! if u accept my frndshp send me dis msg editing ur name. 
ham,ie this on ur hand! . >>>(*OJASVI*)<<< . Hope I m d 1st friend of urs 2 tie d FRIENDSHIP BAND.!! if u accept my frndshp send me dis msg editing ur name. 
ham,ie this on ur hand ! >>(*'Deepanshu'*)<< Hope I m d 1st friend f u 2 tie d FRIENDSHIP BAND.! if u accept my frndshp send me ds msg editing ur name. 
ham,ie this on ur hand ! >>(*''ANUJ''*)<< Hope I m d 1st friend f u 2 tie d FRIENDSHIP BAND.! if u accept my frndshp send me ds msg editing ur name... 
ham,ie this on ur hand ! =>>(*SANKET*)<<= Hope I m d 1st friend f u 2 tie d FRIENDSHIP BAND.! if u accept my frndshp send me ds msg editin ur name 
ham,whole syllabus 4 coa quiz...pramod 
ham,ie Dis on ur hand >>>>(VIPUL)<<<< Hope I m d 1st friend who tie d FRIENDSHIP BAND.!:- 
ham,idk why i'm missing you little bit and/or craving for your company. or maybe i'm hungry and i haven't talked to you in some time (and that's mixed up in my head). :/ 
ham,idiot...mood kharab ho gaya mera n i wasted so mch time. dono hw m gona get thru all this work... 
ham,idiot... 
ham,INVITATION To all my dear Frndz 4 D NEW YEAR  Party! On 31st Dec 2010 At- Nahyan Hall  67th Floor  Burj-E-Khaleefa  DUBAI. Koi Bahana Nahi Chalega.  
ham,Idiot!!!! Next time kab?? 
ham,Idiot when are you coming? 
ham,Idiot when are you  coming? 
ham,Identification of students.1.Books in hands-PUNE. 2.Roled books in jeans-MUMBAI.  3.Books in home ladki in hand-DELHI4.Books in bag chotha in hand-KOLKATA5.books in mind -BIHARI.1BIHARI sab pe BHARI.We Rock....... 
ham,ID pj daya ke dar se khuni ne darwaza khula hi chodh diya par daya bhi chalak tha darwaza band kiya aur tod diy 
ham,ice sayin. . Its alwyz nt abt buzy... Its alwyz d priorities 
ham,whoa awesome!!! yeah kinda njoyn! gt up late so missd brkfst nw makn tea ;p  
ham,Ibm ka mail kar de. 
ham,IBLONG2U Spirituality is for the rich as well as for the poor. For the rich  it opens their hearts. For the poor  it gives them self-confidence. 
ham,IBLONG2U A fantastic student makes a fabulous teacher! I am a fantastic student n thank u 4 making me a fantabulous teacher! Dinesh Ghodke 
ham,Intzaar na. 
ham,ibility whatsoever 4any mistakes.Whatever I hv written is truly fictitious& any resemblance with d Subject Matter is purly Coincidental 
ham,Ias   dad ka sapna try kr rha hun shyad kuch ho jaye 
ham,Iam sick of parents imposing their lost punk youth on thr four year olds. Its 1 thing to mangle ur own hair-bt quite nother 2 try 2 mke ur kid too cool for preschool.......... -HELEN STAPINSKI author of five finger discount 
ham,i==--..__..-=-._. !!==--..__..-=-._; !!==--..@..-=-._; !!==--..__..-=-._; !! !i !! Sare Jahan se accha'HINDUSTAN' hamara JAI HIND Happy 'REPUBLIC DAY'.. 
ham,i) will u go shopping with me? ii) u wer sleeping so deeply  ur mom picked up d fone. bt we didn tok mch. iii) if ur meeting me  den plz bring ur best n latest song collection on a pen drive so tht i cn save it on my laptop. iv) i need to discuss all oder bday stuff with u including hw wil anura b picked up. v) at any cost  i wana kno wot wer u being teased abt in colg. i don wana unecessarily jump to d wrong conclusions or take tension abt u having a girl assistant. vi) preferably wake me up by 9am. 
ham,I(priya) have added u as a contact on WAY2SMS.COM to send Free SMS.(to stop receiving SMS  email unsubAÂ¡way2sms.com)-Sent via WAY2SMS.COM 
ham,I m just giving u time to miss me! 
ham,Who was the 1st. iNDiAN WOMAN to fLy abroad without passport & visa...?Guess....Don't know ?SiTA with RAAVAN to SRiLANKA !!improve ur G.K.   good night. 
ham,I've walked many miles in my life.. i really don't care how many miles r left for me.. but am really Happy that i met U before my Journey Ended.:-)  
ham,I've walked many miles in my life.. I really don't care how many miles are left for me  But i am happy that i met you before my journey ended..:-)Gud n8 
ham,Intzaar 
ham,I've reached.. Kb tk aayega?  
ham,I've learnt many things from my frndz.. they gave me the tricks for stupid activities...they gave me money when i was empty in canteen...they rose their hands 2wards me for beating unsensibly...they love me..they care for me..and I love them too...!!¡¡¡!!But still I have a complaint..dat they dint teach me one thing..and u knw wat?They dint teach meHow to live without them....? Dedicated to alli-dont-wanna-loose buddies...:-) 
ham,Who was the 1st. iNDiAN WOMAN to fLy abroad without passport & visa...? Guess.... Dont know ? SiTA with RAAVAN to SRiLANKA !! improve ur G.K. good night. 
ham,I've got nothing smart to say except.........Happy New Year !!Live it up........- Ujjwal Gupta 
ham,I've been trying to search how 2 return an array in java. If u cn come on skype chat n tell wot exactly ur luking 4 i myt b able 2 help u betr. I'm nt studying newyz. Myt as well atles help u. Hmm? 
ham,i've been slogging so hard  and this is the importance i get? 
ham,i'm very afraid of what you'll think and do once i tell you. 
ham,I'm tkng lab nw.... 
ham,i'm sure you know different ways to say not right now. 
ham,I'm so thrilled that u decided to run d marathon. Has given me inspiration to start practicing from next week. :) :P I evn cooked up an analogy 4 it while brushing in d morning. :P Its lyk being alone v/s a union. The former maybe easier  bt d latter is more enjoyable. :) :* 
ham,why do you loose your patience so quickly? 
ham,I'm so so sry. 1. Coz m texting wen u told me nt to. 2. Coz i din cal bck wen u called me after sending me tht msg. M texting coz i din wana 4get d reason y i din call u n nt b able 2 tell u in d morn. N i din cal bck coz my fone ws on silent coz i ws wid mom dad n by mistake i 4gt 2 un-silent it. Sry! 
ham,I'm so addictd 2ur msgs dat if u dnt sms me i'l use noodles 2hang myself Use sponge 2hit me Ruber knife 2cut my vein &Water pistol 2 blow my head.So keep msgin. Gudnyt;-) 
ham,I'm sleeping|   o_ __  |==========|Oh! I forgot    o>|  /( __  |=========|To say you     o_      G00D|   /( __   NIGHT;-) Sweet dream!!!... 
ham,Who was the 1st Indian women to fly ABROAD ????? ????????????????????? SEETA WITH RAWAN.  
ham,i'm selected for KBC for 31 Sept episode  for phone a friend i've given ur number as i have to give 3 numbers. Plz be prepared. Thanks. 
ham,i'm pissed off... 
ham,i'm nt able to call u. it says ur out of coverage area. 
ham,i'm not able to call you! :( i've so many times. and your landline is busy. :( 
ham,I'm like a paper! U can write ur feelings! Use me 2 absorb ur tears! Dont throw me aftr use bcoz when u feel cold I'll burn myself 2 warm u. Gud night 
ham,i'm in class now!!! 
ham,Interview ke liye kya lana padta hai? Just resume and mark sheets na? Mark sheets original ya photocopy? Any suggestions? 
ham,I'm home. U cannot imagine. 50 mtrs inside d gate  my mom dad wer der! N my tears wer stil wet. God  mujhe itni tension ho gai. Bt i managed. 
ham,i'm home. 
ham,i'm going to take a bath. finish your assignments as soon as possible. 
ham,i'm going to sleep...i don't feel like studying any more thanks to you...you better pray that i do well in both my exams tomorrow... DON'T CALL ME. 
ham,i'm going to sleep now. maybe i can sleep when you're doing your paper. 
ham,i'll just google it... 
ham,I yaad you very zada You bhi yaad me bahut much I m ur very achi friend U r meri gud dost I speak sach So plz don't bhoolna me I bhi nhi 4get u  I shapat. 
ham,I WUD LUV TO... n ve bn tryn to cnvnce mum n sis a hel lot..rly wan to cm cuz its d last day n al..aur kya bolun ya?.. Finally aftr so lng our stupid fights ve ended! D farewels suposd to b rlyyy spcl! Jus 3 hrs ya..plzzz aaaajaaaaooo!! Rply.. 
ham,i ws thinking i shud attend atleast 1 evening of my fest coz u genraly attend urs n so tht i don hv to hear from anyone tht i din enjoy my colg life. bt then its honestly a burden to attend d damn thing. n id rather spend tht tym wid u whether u attend my fest with me or not. also i cud use the tym to attend to pending work n maybe evn study for T1 viz almost just after jive (my fest). we cud use fri for ourselves. if u wana attend ur class  i cn use tht tym to collect my skl's security deposit. oderwise w 
ham,i ws saying tht i needed to tok to u wen u cut d fone on my face. 
ham,Intern?  
ham,i ws saying gn wen u disconnected. atles convo toh finish hone diya karo! 
ham,I ws rdy at 9.15. Nw waiting for dem to get rdy. Abi 5 mins me nikalenge... 
ham,I ws rdy at 7.5 nd ye log ab ghuse h tayar hone. Wat u dng? 
ham,I ws on phn.abi rakha h. U say wat u dng dear? 
ham,yr y u sayn so  i mean hv i ever given u ne such hint dt u feelin so! i mean i respect ur feelin bt u knw i cannot supprt u fr dz! so betr v dnt talk abt dese thngs!  
ham,Who told u 
ham,I ws on phn wid parool. Woh ghar par h nd she getin bore s koi frnd nhi h wahan... 
ham,I ws nt in rum. Take the assignment frm neeru or dolma or aditi or diksha or neha  
ham,i ws hoping fone abruptly na cut ho jae. khair newyz. nw fone battery is also gng down. luv u  tc  gn  swt drms  keep smiling :) 
ham,I wont cum 2 play 2day.m out in d market.luv u.how r jhanno ke baal 
ham,INTERESTING MOMENTS: *Tryin hard to find d mob wen its in silent mode. *A random day dream & then realizin tat u were starin at someone by mistake. *Havin some txts on ur mob tat u nvr want to delete. *Restartin de song wen u miss ur most favrt line. *Staring into ur wardrobe of clothes & findin nothin Gud to wear. *Wen parents keep callin  pretendin to tel 'am coming' & moving only aftr dey shout. *Evrything else becomin most intrsting wen its exam time. *Before startin any chapter countin de no. of pgs. *Enjoyin d momnt wen sum1 interrupts de class for an imp announcement. *Shoutin 'sirrr' wen its 10 mins before brk. *D momnts wen v feel smilin is far btr than explainin y u r sad. Seriously  life is better wen u decide u dnt care watvr strange happns..  
ham,I wonder  .. Every next GIRL i meet is committed with sumone:-*:- & Every next BOY i talk to is single... .. Yeh ladkiyan aakhir ja kaha rahi hai..???? : 
ham,i woke up so early only to find out its off for me today! 
ham,I wnt 2 go bak 2 d tym Wen dad ws d only 'hero'Wen Luv ws 'mom's hug'Wen dad's shoulder ws d 'highest place on earth'Wen ur worst 'enemies' were ur siblingsWen d only things dat cud 'hurt' were skinned kneesWen d only things 'broken' were ur toyzAndWen gudbye only meant til tomorrow... 
ham,Who told dis? Naam bta...  
ham,i wish your phone was switched on so that i could tell you the good news and bad news seperately. 
ham,i wish you would've told me sooner that you're not going home. i could've gone to sleep earlier. anyways  gn tc. 
ham,i wish you would've picked up your phone. i get worried about you. anyways  take care. i hope you finish your assignment in time. and hope that you live upto your promise. goodnight. love you. i would like a reply. 
ham,i wish u wudv jus waited for me to wake up insted of waking me up. nw iv jus woken up nw. n m too late to go c my ppr which ws being shown from 3-4pm. :( 
ham,I wish u could/would play text-text now... 
ham,i wish u a sweetest sundy marvellous mondy tasty tuesdy wondrful wdnesdy thankful thursdy frndly fridy sucesful satdy hav a gr8 2010!! Hapy new year!!  
ham,Instead of thinking about what u are missing Try to think aboutwhat you have that everyone else is missing.Life will be So happy....:-)Gudngt 
ham,I wish u a happy n prosperus diwali darpan  
ham,I wish u & ur family a very happy and prosperous new year 2011. May God be kind enough to bless you with joyous & blissful life. 
ham,I wish TRUE LoVe is like a boy playing chess..Alwys afraid of losing his QUEEN.And a girl risking evrythng just 2 protect her KING... 
ham,Who says there's no difference between COMPLETE & FINISH?Choose the right person & u r COMPLETE.Choose the wrong one & u r FINISHED.... 
ham,I Wish Our Friend Ship Comes To An End Only When U See An Apple In An Orange Tree Which Is Being Eaten By a Dinosar On The 30th Of Feb..Gud nyt..:) 
ham,I wish in 2009 god gives u 12month of happiness  52weeks of fun  365days of success  8760hours good health  52600mint good luck 3153600secnd of JOY Happy new year 2009  
ham,I wish i didn't have 2 say dis. Plz don't call me at night once iv gone 2 sleep. M facing problems with my sleep  and ur waking me up is not helping. :( 
ham,i wish i could talk to you more. i wish i could be with you more. the towel situation is like a satire. take care. :* 
ham,I wish God made me a SMS  so that I can reach u in 5 sec  Cost u nothing  u'll read me & I cud C U smiling which is worth millions  
ham,I wish a very happy and prosperous new year for you and your family...With Regards! K.B.SINGH. 
ham,Is DIL ka ek ARMAAN hai  Ek CHAND sa DOST hmari JAAN hai  Jise MEHSUS karna to MUMKIN hai  Par MILNA kaha ASAN hai  KYUNKI hum ek ZAMEEN h aur wo AASMAAN hai. 
ham,Instead of thinking about what u are missing  Try to think about what you have that everyone else is missing. Life will be So happy....:-) Gudngt 
ham,I will talk about this afterwards wen u ll be free.Oye dont use my name do something else.He says u cant do anything. - Sent via WAY2SMS.COM 
ham,Who said water helps in putting off fire.... If so  Then why don't tears heal the burn in one's heart....! think abt it... 
ham,i will personally murder you. you can count your days. 
ham,I will give you your pen drive after some time. 
ham,I wil tak it aftrwrse. 
ham,I wil put it 2marw 
ham,I wil leave Sumthng 4u wen i wil leave dis world    Few memories in ur HEART few tears in ur EYES my Name on ur LIPS n my absence in ur Lyf..!!  
ham,I wil gve 2 alka aunty 2marw 
ham,I wil bnk ip 
ham,I wasn't sure 
ham,instead of studying  i jus feel lyk drawing arundhati n tanmay hearts on my register. :P 
ham,I was sleeping |   o_ __   |==========| Oh! I forgot      o> |  /( __   |=========| To say you       o_        G00D |   /( __   NIGHT..   SWEET DRMS.  
ham,Who r u?  
ham,I was shockd Ystrday in my room all my books wr singing a song..Guess which song?guess.....O Zra zra Touch Me Touch Me Touch me 
ham,i was saying if ur free...maybe u cud plan my birthday lil bit. i wud like champagne wid my bday cake. think of wot n all we cn do. think abt ice breakers n stuff tht'l help ppl mix. think of d playlist of songs. find out if delivery guys wud b available. n plz don say ur more interestd in oder girls coming. it jus hurts me. i kno girls hv to come. n think if ders any way we cn b alone in d house. plz plz plz if u hv nothing to do right nw. be my angel like i am alwyz urs... 
ham,i was not expecting to be lucky today...first class got cancelled. i didn't miss anything. if you have free messages  reply. 
ham,I was joking  dont take it to heart. 
ham,I was joking  don't take it to heart. 
ham,Who r d three mst hard workin ppl in MTV ROADIES? Raghu Ranvijay n think?   Its the man who presses the beep button to censor abuses !!!  
ham,i was hurt when you said you're JUST a girlfriend. if you blurted it out in anger and didn't mean it  that's another matter. but if you did  then if you dislike my telling your mom  don't want me to talk to your batchmates and don't listen to me  what do you expect me to do? 'coz if it's something related to you  i can't ignore it. and as far as your telling me everything is concerned  it's extremely important because that is part of the foundation of our relationship. if you don't like my saying this  d 
ham,I was hoping we could skype-study again today. Bt ur nt evn home. N iv been wanting 2 tok 4 quite sum tym. :-/ I evn hd 2 tel u hw u wer right abt my angry look. :* ^_^ and i also wanted 2 kno exactly wot is sumit-stuti's situation. Also did u tell aman abt us. Wot r ur plans 4 tom. C v hv so mch 2 tok! 
ham,Insaan Kabhi 4Cheezo Se Khush Nhi Ho sakta Mobile . . Auto Mobile . . TV . . & . . . BIWI Qki aksr inke achche Model padosi k pas hote h. 
ham,i was hoping to wake up a little bit on time today. but couldn't because of all the calls i kept receiving all morning. anyways  tc. 
ham,i wanted to tok abt my academic performance v/s urs. nw i dono y m day dreaming abt playing with u on next monday. n nw m wishing tht u get evrything done quickly n reach home evn quicker  so tht v cn tok. :) 
ham,I wanted to tell u but u wasnt online. So only cant able to msg u . Well u hav to give a big treat wen u ll come here. 4 ur project. Well chotu bada ban gaya. 
ham,I wanted to tell u but u wasn't online. So only cant able to msg u . Well u hav to give a big treat wen u ll come here. 4 ur project. Well chotu bada ban gaya. 
ham,i wanted to hv juice sumtym bck  bt der wasnt any at home. so i ws considering opening one of d big soft drink bottles. i also told d maid abt ur idea to get it exchanged. she ws also interested in it. den dad came home. i started telling him hw i ws toking to u tht dez big bottles wer gng unused n wot u sed i cud do. first of all he cut me short three tyms wen i tried to tell him wot u sed. n on d third tym he sed sumthing tht pisd me off so mch tht i stop toking to him tht instant  poured myself sum spri 
ham,i wantd to tok. :( gn. tc. :/ 
ham,i want you to call me and rectify things. 
ham,I want u 2 take dadi n baba's review on me wen u go home. :) 
ham,i want to stop myself n think otherwise  but i cnt help it. ur having diner outside  n i fear the worst. plz plz control woteva u have to  in urself. plz. don't do anything wrong. plz don't ruin tonite. hoping  waiting n expecting to tok to the good u  tonite. n wud be at peace the sooner u call. 
ham,i want to know when will your US internship be confirmed or rejected? have you applied in ABB as a back up? 
ham,Insaan ka dil sabse zyada kab jalta hai? Jab aap BLACKBERRY ka original mobile lekar baithe ho aur koi aakar kahe.. China Hai Na..?? 
ham,I want this cycle of sorrow to end. Gn. 
ham,I want a report like a basic article. Introduction one para  body of the issue for example global warming and then a small conclusion.  
ham,i want 'us' time... miss being with you... 
ham,I wanna b tears so dat i can born in ur eyes live on ur cheeks n die on ur lips  
ham,i wana w8 4 sumtym :* 
ham,who r d 3 most hard working ppl in MTV ROADIES? Raghu Ranvijay and think? Its d man who presses d *BEEEP* button to censor abuses! 
ham,i wana tok to u. I Wana Tok To U! I WANA TOK TO U!!! n i hv a tiny problem also. vich u hv to help me out wid. plus i wana tok to u. n i wana b wid u. sit next to u. hug u. eat wid u. watch movies wid u. fall asleep wid u. u kno i thot il go mad by d end of dis msg. bt i didnt! :) wana b wid u n tok to u!! :P :) 
ham,I wana cry too..There are jus so many diversionz...!! 
ham,I wan to download nfs most wanted konse site se karu  
ham,I waitd for ur col . Nw im sleeping . As it is im upset . I fought wid ankur . He yelld at me for no reason :-( Gn . 
ham,Innocent reply.Kid- Teacher can i go to the bathroom ?Teacher- (Correcting him) May i go to the bathroom ?Kid- (Sadly replies) But i asked first...:-) 
ham,I vl b cntnung mah intrnshp nly so vl pair wid aastha...hv to tlk to pk abt it abhi... 
ham,I ve announcd in class.. tum bhi aaj hi kar dena. notice aata rahega. n this week kya karna hai  socha hai? see u ltr. 
ham,i used to consider myself patient... but i think i am short on that when it comes to people :/ 
ham,i try to be nice and this is what i get. you can forget about me helping you out for a really long time now. 
ham,I tried resisting a lot. Evr since u told me nt 2 msg iv been wanting 2 tok 2 u vry badly. Nth specific. Jus a strong craving. N i dono if ur angry or busy or why u told me nt 2 msg u. Nt tht dis msg of myn will help me a lot. Coz i dono if ul evn reply. Newyz. Tc. 
ham,Who r BOYS?Jo marne k badNARAK me b kehte haiYAMRAJ KI BETI DEKH PATAKHA HAI YAAR&Who r GIRLSWho go 2 Heavn n sayAPASRA KI NAILPOLISH DEKHI :-x 
ham,i totaly forgot abt my last nyt's dream in vich ur secretly living wid me n den my mom finds out ur here! 
ham,I took u as my frnd  I locked U in my Heart. But now that  key has missed. So I m very hppy bcoz UR safe in my Heart till my Heartbeat stops.G'd ev'g! 
ham,I told ya it decrz ur efficiency..lol...Push sux! Big tym... 
ham,I told u 1 lie dat i didnt remembr d drm.I do remembr it bt its nt d 1 to tel.bcz it can't true i knw dat.so puchna mat ki kya tha.gn.luv u dr.i m sleping nw.tc 
ham,Why do we all marry?.....Because romance is not the only d element of life. We should also knw horror  terror  suspense  stupidity & tragedy of life. 
ham,I told Mr.Smile to shower some smiles on You.. He laughed & said  have you ever seen a retailer supplying something to a wholeseller ! Gud Mrng  hav a gr8 day.. 
ham,I told him my prob he knows everythin bout me . And i cant do anythin 4 it . I never saw a geek like him tats wy i like his company de most . Even he knows de things better but cant do anythin . 
ham,I thought since we met a week be4 and i scold u so u became angry . Its k if u r not .  
ham,I thought since we met a week be4 and i scold u so u became angry . Its k if u r not . 
ham,I thought i m in love  My nites going sleepless My days going useless So i asked GOD Is dis LUV? God replied No Dear Sylabus zyada h aur tujhe kuch nhi aAbhi na mujhe dafnao yaaro  Mere dosto ko zara der se aane ki aadat hai  aur Abhi na daalo mere chehre par kafan  Unhe ye chehra dekh kar muskurane ki aata hai. dat hai.:-):-):-(  
ham,Who r BOYS? jo mrne k bad NARK me B khte h.YAMRAJ KI BETI DEKH.PATAKA H YAR.. nWho r GIRLS? who gos 2 heavn n says APSRA KI NAILPOLISH DEKHI HW CHEAP. 
ham,i thot u wudnt cum 2day! 
ham,I thot u wer busy so didnt wanna distrb u. Dis is d main reason behind most broken relations. So keep distrbing all thos whom u never wanna loose in life.. 
ham,I thot d date tl nw would hve been a bit more precise..  
ham,i thot cuz u were late 2day! i thot u wudnt cum! nd du u watch a lot of fbi serials? u r talkin lyk a fbi agent! 
ham,Innocent Kid: Mummy mujhe bhai chahiye. Mummy:Beta dad abroad mey hai  jaise wo ayenge  hum baat karenge unse. Kid: Aap unhe SURPRISE Q nahi dete..? ;-> 
ham,I thnk u sent d msg to wrng prsn...n i'm nt cmng tmrw so kal baithk pura kar lungi...evn 7 ques.... 
ham,I thnk mere mei hoga..mine r on 9 10 12 
ham,i This is a Group message..... We are planning a group meeting tomorrow....so that we can combine things and have working model by monday.....So evryone is requested to be there in meeting tomorrow....I have mailed on google groups also regarding the same....This message is to ensure that everyone knows about the meeting......Please read the mail as thr is some more information!! @Lakshay please convey the message to your other group members as I am not having their phone numbers... 
ham,I think u r vry careless! U cum n leave things behind! See nw wat u ve left? U just came in my mind n left a smile on my face.  
ham,i think der is a way for permanent permanent hair removal...electrolysis...its kind of costly...n i rely dono if i shud b doing it or nt. i mean i dono if ders a way to undo it or get my hair bck. n thts kind of scary. apart from tht it seems to advise to get spl waxing done vich is performed by professionals. n maybe jus maybe wot i do is nt vry safe. anyways  i dont think i am ready for anything of this sort till d tym ur living wid me. 
ham,Yr wo msg mere aircel wale no pr karde plz  
ham,Who Is The Most HARDWORKING Guy in MTV Roadies Except Raghu  Rajeev & Rannvijay..?? . . . . The One Who Operates The BEEP  BUTTON.;-)  
ham,I think 5-10 more mints 
ham,i talked to aniket sir. he's ready to participate in the imagine cup with us. plus he's already participated earlier  so that should be a plus apart from his being a MSP. 
ham,I studied evrythngbut never topped.Today the toppers ofthe best universitiesare my employees.-Bill GatesATTITUDE with PASSION IS EVERYTHING !! 
ham,Innocent confession by Shiney Ahuja: Aasmaan me kaali ghata chhai hai  aaj fir gharwali se maar khai hai. Dil to karta hai ki sudhar jaaun  magar kaamwali aaj fir bheeg kar aayi hai.. ;) 
ham,I studied but never topped Today toppers of best Universities r my Employees. -Bill Gates . Bas.. . Yahi statement mujhe top karne se rok deti hai...! ;) 
ham,i still wanna know your dream (obviously) whenever you get free. 
ham,i still have a Rs.40 air hockey receipt from dlf saket dated 13.07.10. Remember? 
ham,I Stepped oN Cowdung and suddenly I remembrd U..!! But Y?. . . Hmmm . . . BCoz  Life Is SHIT Without U!!! . :) :p 
ham,I started callin him. But he is not carin   
ham,I started callin him. But he is not carin 
ham,I spent 500 
ham,I smile at whom i like  i cry 4 whom i care i share wid whom i luv i laugh wid whom i enjoy. i msg only 2 those whom i nvr want 2 lose. 
ham,I slit the sheet - the sheet I slit - and on the slitted sheet I sit.-160by2.com {Ad: Why spend money when U can sms for FREE-160by2.com. Register NOW!}  
ham,I slit the sheet - the sheet I slit - and on the slitted sheet I sit.  
ham,Innocence at its best- A smal boy askd his preg mom  wats der in it? Mom - Thers a lovely baby in it- Child - If its so lovely  y did u eat it? gn 
ham,I slept hehe  
ham,i sent u mail on dipesh.tech 
ham,I sent my cares 2 d wind n asked it 2 pass them 2 u.So when u feel d Wind Blowing against ur Face.. That's Me saying Take Care... 
ham,I see u Aankhon say I feel u sanson say I remember u chahat say I belive u jaan say I care u dil say & .**.*** I MISs * *. U .*Kasam se' 
ham,I Searched many gardens  to select a flower 2 give  U as gift   But   I did'nt find any flower beautiful than ur Smile..    .      .    Next joke tommorrow:-)  
ham,I say Crazy Things When m Hyper but dont do them...I say Stupid Things Wen m Angry bt dont mean them...I say Hurtful Things Wen m Hurt bt dont mean to Q. Write an assy on SARDAR.ANS. Sardar ek vichitra prani hai Yeh punjab K talhati mei paya jata hai Guruparv K din yeh bhaari sankhya me dekhne ko milt38%doc in USA r INDIANS12%scntist in US r INDIANS36%NASA scintists r INDIANS34%Micrsoft emplyes r INDIANS            17%INTEL emplyes r INDIANShurt uI say Silly Things without thinking but laugh at myself later...To all my Friends who Ignore my crazy talk  Laugh at my Silliness...Forgive me hain Langar hi inka paustik aahar hai Yeh chutkule banane K kaam aate hain Janam lene K 16 saal tak nar-mada me koi antar nahi paya jata hai 16 saal K                   28%IBM emplyes r INDIANS            INDIANS r Gr8...Bt INDIA is NT..!If al dese brainful fools hd wrkd 4 India v wud hav raced USe if i had ever hurt you...ThankZzZ for Accepting Me as I am....  baad mada apsara aur nar ek bhayankar rup dharan kar lete hain 12 baje K karib inke nikat nahi jana chahiyeYe hanikarak sidh ho sakte h... So tak care 
ham,Who is the Most Hardworking Guy in MTV Roadies except Raghu  Rajeev & Rannvijay..?.....The One who operates the BEEP **** Button..;) 
ham,I saw u on d road 2day... U wer lookin so fine ur face so devine ur wak so perfct my heart startd 2 sing a lovly song who let d dogs out who who who...  
ham,i saw that sprite ad also. the one in which other girls don't wear matching clothes. wicket!!! kallis out! :) good wicket keeping BY DHONI. ;) 
ham,I saw paran0rmal activity on theatre and me ek scene me uchal pada:-D 
ham,Innocence at its best- 
ham,I saw de videos in de Pallabs lap itself. I need to know how u implemented de speech processin in de robo . 
ham,I saw de videos in de Pallab's lap itself. I need to know how u implemented de speech processin in de robo . 
ham,I said nah if i do then 6.. 
ham,i said love you  when you disconnected. 
ham,I said  I'm d sweetest in d world. God laughed & said wait  u have not met d person reading dis sms... ... Moral- Even God lies. 
ham,Who is teaching? 
ham,I requested to God-Let my friend be happy & healthy forever..God said-for 4 days only..I said ok-Springday Summerday Autumnday n Winterday..He said no-only 3 days..I said ok-Yesterday Today n Tomorrow..He said no-only 2 days..I said ok-Good day & Bad day..He said no-only 1 day..I said-Everyday..God laughed & said-ok  u win..ur frnd wil Be happy n healthy forever my dear.....GooD NighT. Tk care....swt drmz.... 
ham,i remembered the gmail password. 
ham,i rely rely hope ur able to go shopping wid me today or tom. tc. 
ham,I realised that somethings in life hurt more than words can ever express.. When the people you hold so high suddenly make you feel so small.. When the best of your friends laugh at you when you had expected them to support you.. When the most special person in your life makes you feel so unwanted.. When the people you cant live without tell you they dont need you anymore.. When the people who have always been a part of your prayers dont even want to hear your name.. When people who had once listened to everything you say suddenly declare that they dont understand you anymore.. It is rightly said 'only the wearer knows where the shoe bites'. 
ham,Is dere ny bag of urs in hstl rum which is spare?  
ham,Inner peace;-)  
ham,I put my heart and my soul into my work  and have lost my mind in the process. 
ham,I propose u 4 a lyftym frndsip.Wid full dedication.No complaints  no Demandss..Wt say..?Hapy frndsip day in adv..do reply if u accept my frndsip.?Gn 
ham,I promise to tease u wen u r happy n tease u even more wen u r sad.. :-) i promise to take money from u n never return it back;-) & i promise to kill u if u dont wanna b frnds wid me anymore :-@ i promise to b ur frnd for da rest of my lyf!! And do al silly thngs to irritate u.. Just 2 see u smile.. 
ham,I promise to be by your side always..whenever u need me..in your happy times and your sad times..coz u r someone i never wanna lose..i love you..n i ll be your friend forever..i promise..Happy promise day.. 
ham,I promise to be by your side always..whenever u need me..in your happy times and your sad times..coz u r someone i never wanna lose..i love you..n i ll be your friend forever..i promise.. Happy promise day.. 
